Q core socket tempC time
QQQ 0 0 40 0.00
QQQ 1 0 37 0.00
QQQ 2 0 40 0.00
QQQ 3 0 35 0.00
QQQ 4 0 37 0.00
QQQ 5 0 32 0.00
QQQ 6 0 38 0.00
QQQ 7 0 43 0.00
QQQ 0 1 39 0.00
QQQ 1 1 43 0.00
QQQ 2 1 35 0.00
QQQ 3 1 40 0.00
QQQ 4 1 36 0.00
QQQ 5 1 33 0.00
QQQ 6 1 36 0.00
QQQ 7 1 30 0.00
QQQ 0 0 41 0.10
QQQ 1 0 37 0.10
QQQ 2 0 41 0.10
QQQ 3 0 35 0.10
QQQ 4 0 37 0.10
QQQ 5 0 32 0.10
QQQ 6 0 38 0.10
QQQ 7 0 42 0.10
QQQ 0 1 39 0.10
QQQ 1 1 44 0.10
QQQ 2 1 35 0.10
QQQ 3 1 39 0.10
QQQ 4 1 36 0.10
QQQ 5 1 32 0.10
QQQ 6 1 35 0.10
QQQ 7 1 30 0.10
QQQ 0 0 41 0.20
QQQ 1 0 38 0.20
QQQ 2 0 41 0.20
QQQ 3 0 35 0.20
QQQ 4 0 38 0.20
QQQ 5 0 33 0.20
QQQ 6 0 38 0.20
QQQ 7 0 42 0.20
QQQ 0 1 39 0.20
QQQ 1 1 43 0.20
QQQ 2 1 35 0.20
QQQ 3 1 40 0.20
QQQ 4 1 37 0.20
QQQ 5 1 33 0.20
QQQ 6 1 36 0.20
QQQ 7 1 30 0.20
QQQ 0 0 42 0.30
QQQ 1 0 38 0.30
QQQ 2 0 41 0.30
QQQ 3 0 35 0.30
QQQ 4 0 38 0.30
QQQ 5 0 33 0.30
QQQ 6 0 38 0.30
QQQ 7 0 42 0.30
QQQ 0 1 39 0.30
QQQ 1 1 43 0.30
QQQ 2 1 35 0.30
QQQ 3 1 39 0.30
QQQ 4 1 36 0.30
QQQ 5 1 33 0.30
QQQ 6 1 36 0.30
QQQ 7 1 30 0.30
QQQ 0 0 41 0.40
QQQ 1 0 37 0.40
QQQ 2 0 41 0.40
QQQ 3 0 35 0.40
QQQ 4 0 38 0.40
QQQ 5 0 32 0.40
QQQ 6 0 38 0.40
QQQ 7 0 42 0.40
QQQ 0 1 39 0.40
QQQ 1 1 43 0.40
QQQ 2 1 36 0.40
QQQ 3 1 39 0.40
QQQ 4 1 36 0.40
QQQ 5 1 33 0.40
QQQ 6 1 36 0.40
QQQ 7 1 30 0.40
QQQ 0 0 42 0.50
QQQ 1 0 38 0.50
QQQ 2 0 41 0.50
QQQ 3 0 35 0.50
QQQ 4 0 38 0.50
QQQ 5 0 33 0.50
QQQ 6 0 39 0.50
QQQ 7 0 42 0.50
QQQ 0 1 39 0.50
QQQ 1 1 43 0.50
QQQ 2 1 35 0.50
QQQ 3 1 40 0.50
QQQ 4 1 37 0.50
QQQ 5 1 32 0.50
QQQ 6 1 36 0.50
QQQ 7 1 30 0.50
QQQ 0 0 41 0.60
QQQ 1 0 38 0.60
QQQ 2 0 41 0.60
QQQ 3 0 36 0.60
QQQ 4 0 37 0.60
QQQ 5 0 33 0.60
QQQ 6 0 38 0.60
QQQ 7 0 42 0.60
QQQ 0 1 39 0.60
QQQ 1 1 44 0.60
QQQ 2 1 35 0.60
QQQ 3 1 39 0.61
QQQ 4 1 37 0.61
QQQ 5 1 33 0.61
QQQ 6 1 35 0.61
QQQ 7 1 30 0.61
QQQ 0 0 42 0.71
