Q core socket tempC time
QQQ 0 0 32 0.00
QQQ 1 0 27 0.00
QQQ 2 0 29 0.00
QQQ 3 0 30 0.00
QQQ 4 0 31 0.00
QQQ 5 0 30 0.00
QQQ 6 0 30 0.00
QQQ 7 0 32 0.00
QQQ 0 1 27 0.00
QQQ 1 1 26 0.00
QQQ 2 1 24 0.00
QQQ 3 1 23 0.00
QQQ 4 1 25 0.00
QQQ 5 1 26 0.00
QQQ 6 1 29 0.00
QQQ 7 1 26 0.00
QQQ 0 0 32 0.10
QQQ 1 0 27 0.10
QQQ 2 0 29 0.10
QQQ 3 0 31 0.10
QQQ 4 0 31 0.10
QQQ 5 0 29 0.10
QQQ 6 0 30 0.10
QQQ 7 0 31 0.10
QQQ 0 1 28 0.10
QQQ 1 1 26 0.10
QQQ 2 1 25 0.10
QQQ 3 1 22 0.10
QQQ 4 1 25 0.10
QQQ 5 1 26 0.10
QQQ 6 1 30 0.10
QQQ 7 1 32 0.10
QQQ 0 0 32 0.20
QQQ 1 0 27 0.20
QQQ 2 0 29 0.20
QQQ 3 0 30 0.20
QQQ 4 0 32 0.20
QQQ 5 0 30 0.20
QQQ 6 0 29 0.20
QQQ 7 0 31 0.20
QQQ 0 1 28 0.20
QQQ 1 1 26 0.20
QQQ 2 1 24 0.20
QQQ 3 1 22 0.20
QQQ 4 1 25 0.20
QQQ 5 1 26 0.20
QQQ 6 1 31 0.20
QQQ 7 1 32 0.20
QQQ 0 0 32 0.30
QQQ 1 0 27 0.30
QQQ 2 0 28 0.30
QQQ 3 0 29 0.30
QQQ 4 0 31 0.30
QQQ 5 0 30 0.30
QQQ 6 0 29 0.30
QQQ 7 0 32 0.30
QQQ 0 1 28 0.30
QQQ 1 1 25 0.30
QQQ 2 1 25 0.30
QQQ 3 1 22 0.30
QQQ 4 1 26 0.30
QQQ 5 1 27 0.30
QQQ 6 1 31 0.30
QQQ 7 1 33 0.30
QQQ 0 0 32 0.40
QQQ 1 0 26 0.40
QQQ 2 0 29 0.40
QQQ 3 0 30 0.40
QQQ 4 0 31 0.40
QQQ 5 0 30 0.40
QQQ 6 0 29 0.40
QQQ 7 0 31 0.40
QQQ 0 1 28 0.40
QQQ 1 1 26 0.40
QQQ 2 1 24 0.40
QQQ 3 1 22 0.40
QQQ 4 1 25 0.40
QQQ 5 1 26 0.40
QQQ 6 1 31 0.40
QQQ 7 1 33 0.40
QQQ 0 0 32 0.50
QQQ 1 0 26 0.50
QQQ 2 0 29 0.50
QQQ 3 0 30 0.50
QQQ 4 0 31 0.50
QQQ 5 0 29 0.50
QQQ 6 0 29 0.50
QQQ 7 0 32 0.50
QQQ 0 1 28 0.50
QQQ 1 1 26 0.50
QQQ 2 1 24 0.50
QQQ 3 1 21 0.50
QQQ 4 1 26 0.50
QQQ 5 1 27 0.50
QQQ 6 1 30 0.50
QQQ 7 1 33 0.50
QQQ 0 0 32 0.60
QQQ 1 0 27 0.60
QQQ 2 0 29 0.60
QQQ 3 0 29 0.60
QQQ 4 0 31 0.60
QQQ 5 0 30 0.60
QQQ 6 0 30 0.60
QQQ 7 0 32 0.60
QQQ 0 1 27 0.60
QQQ 1 1 26 0.60
QQQ 2 1 25 0.60
QQQ 3 1 22 0.60
QQQ 4 1 26 0.60
QQQ 5 1 27 0.61
QQQ 6 1 31 0.61
QQQ 7 1 33 0.61
QQQ 0 0 32 0.71
QQQ 1 0 27 0.71
QQQ 2 0 28 0.71
QQQ 3 0 30 0.71
QQQ 4 0 31 0.71
QQQ 5 0 30 0.71
QQQ 6 0 29 0.71
QQQ 7 0 32 0.71
QQQ 0 1 28 0.71
QQQ 1 1 26 0.71
QQQ 2 1 24 0.71
QQQ 3 1 23 0.71
QQQ 4 1 26 0.71
QQQ 5 1 28 0.71
QQQ 6 1 31 0.71
QQQ 7 1 33 0.71
QQQ 0 0 32 0.81
QQQ 1 0 26 0.81
QQQ 2 0 29 0.81
QQQ 3 0 30 0.81
QQQ 4 0 31 0.81
QQQ 5 0 29 0.81
QQQ 6 0 30 0.81
QQQ 7 0 32 0.81
QQQ 0 1 28 0.81
QQQ 1 1 26 0.81
QQQ 2 1 25 0.81
QQQ 3 1 23 0.81
QQQ 4 1 26 0.81
QQQ 5 1 27 0.81
QQQ 6 1 31 0.81
QQQ 7 1 33 0.81
QQQ 0 0 32 0.91
QQQ 1 0 27 0.91
QQQ 2 0 29 0.91
QQQ 3 0 30 0.91
QQQ 4 0 31 0.91
QQQ 5 0 30 0.91
QQQ 6 0 29 0.91
QQQ 7 0 31 0.91
QQQ 0 1 28 0.91
QQQ 1 1 26 0.91
QQQ 2 1 26 0.91
QQQ 3 1 22 0.91
QQQ 4 1 26 0.91
QQQ 5 1 28 0.91
QQQ 6 1 32 0.91
QQQ 7 1 33 0.91
QQQ 0 0 33 1.01
QQQ 1 0 27 1.01
QQQ 2 0 29 1.01
QQQ 3 0 31 1.01
QQQ 4 0 31 1.01
QQQ 5 0 30 1.01
QQQ 6 0 30 1.01
QQQ 7 0 31 1.01
QQQ 0 1 29 1.01
QQQ 1 1 26 1.01
QQQ 2 1 25 1.01
QQQ 3 1 22 1.01
QQQ 4 1 25 1.01
QQQ 5 1 27 1.01
QQQ 6 1 32 1.01
QQQ 7 1 34 1.01
QQQ 0 0 33 1.11
QQQ 1 0 27 1.11
QQQ 2 0 29 1.11
QQQ 3 0 30 1.11
QQQ 4 0 31 1.11
QQQ 5 0 30 1.11
QQQ 6 0 30 1.11
QQQ 7 0 31 1.11
QQQ 0 1 28 1.11
QQQ 1 1 27 1.11
QQQ 2 1 25 1.11
QQQ 3 1 23 1.11
QQQ 4 1 26 1.11
QQQ 5 1 26 1.11
QQQ 6 1 32 1.11
QQQ 7 1 33 1.11
QQQ 0 0 33 1.21
QQQ 1 0 27 1.21
QQQ 2 0 28 1.21
QQQ 3 0 31 1.21
QQQ 4 0 31 1.21
QQQ 5 0 30 1.21
QQQ 6 0 29 1.21
QQQ 7 0 31 1.21
QQQ 0 1 29 1.21
QQQ 1 1 27 1.21
QQQ 2 1 25 1.21
QQQ 3 1 23 1.21
QQQ 4 1 26 1.21
QQQ 5 1 28 1.21
QQQ 6 1 32 1.21
QQQ 7 1 34 1.21
QQQ 0 0 34 1.31
QQQ 1 0 27 1.31
QQQ 2 0 28 1.31
QQQ 3 0 30 1.31
QQQ 4 0 32 1.31
QQQ 5 0 30 1.31
QQQ 6 0 29 1.31
QQQ 7 0 31 1.31
QQQ 0 1 29 1.31
QQQ 1 1 26 1.31
QQQ 2 1 25 1.31
QQQ 3 1 22 1.31
QQQ 4 1 27 1.31
QQQ 5 1 26 1.31
QQQ 6 1 32 1.31
QQQ 7 1 34 1.31
QQQ 0 0 31 1.41
QQQ 1 0 27 1.41
QQQ 2 0 29 1.41
QQQ 3 0 30 1.41
QQQ 4 0 31 1.41
QQQ 5 0 30 1.41
QQQ 6 0 30 1.41
QQQ 7 0 31 1.41
QQQ 0 1 29 1.41
QQQ 1 1 27 1.41
QQQ 2 1 26 1.41
QQQ 3 1 23 1.41
QQQ 4 1 26 1.41
QQQ 5 1 27 1.41
QQQ 6 1 32 1.41
QQQ 7 1 34 1.41
QQQ 0 0 32 1.51
QQQ 1 0 27 1.51
QQQ 2 0 29 1.51
QQQ 3 0 31 1.51
QQQ 4 0 31 1.51
QQQ 5 0 30 1.51
QQQ 6 0 29 1.51
QQQ 7 0 31 1.51
QQQ 0 1 29 1.51
QQQ 1 1 27 1.51
QQQ 2 1 25 1.51
QQQ 3 1 22 1.51
QQQ 4 1 27 1.51
QQQ 5 1 27 1.51
QQQ 6 1 32 1.51
QQQ 7 1 34 1.51
QQQ 0 0 33 1.61
QQQ 1 0 26 1.61
QQQ 2 0 29 1.61
QQQ 3 0 30 1.61
QQQ 4 0 31 1.61
QQQ 5 0 30 1.61
QQQ 6 0 30 1.61
QQQ 7 0 32 1.61
QQQ 0 1 29 1.61
QQQ 1 1 26 1.61
QQQ 2 1 25 1.61
QQQ 3 1 22 1.61
QQQ 4 1 26 1.61
QQQ 5 1 28 1.61
QQQ 6 1 32 1.61
QQQ 7 1 34 1.61
QQQ 0 0 32 1.71
QQQ 1 0 27 1.71
QQQ 2 0 29 1.71
QQQ 3 0 30 1.71
QQQ 4 0 32 1.71
QQQ 5 0 30 1.71
QQQ 6 0 29 1.71
QQQ 7 0 31 1.71
QQQ 0 1 29 1.71
QQQ 1 1 27 1.71
QQQ 2 1 25 1.71
QQQ 3 1 23 1.71
QQQ 4 1 26 1.71
QQQ 5 1 27 1.71
QQQ 6 1 32 1.71
QQQ 7 1 34 1.71
QQQ 0 0 33 1.81
QQQ 1 0 26 1.81
QQQ 2 0 29 1.81
QQQ 3 0 30 1.81
QQQ 4 0 31 1.81
QQQ 5 0 30 1.81
QQQ 6 0 30 1.81
QQQ 7 0 31 1.81
QQQ 0 1 29 1.81
QQQ 1 1 27 1.81
QQQ 2 1 25 1.81
QQQ 3 1 23 1.81
QQQ 4 1 27 1.81
QQQ 5 1 27 1.81
QQQ 6 1 32 1.81
QQQ 7 1 34 1.81
QQQ 0 0 32 1.91
QQQ 1 0 27 1.91
QQQ 2 0 29 1.91
QQQ 3 0 30 1.91
QQQ 4 0 32 1.91
QQQ 5 0 30 1.91
QQQ 6 0 29 1.91
QQQ 7 0 31 1.91
QQQ 0 1 28 1.91
QQQ 1 1 27 1.91
QQQ 2 1 26 1.91
QQQ 3 1 23 1.91
QQQ 4 1 26 1.91
QQQ 5 1 27 1.91
QQQ 6 1 32 1.91
QQQ 7 1 35 1.91
QQQ 0 0 32 2.01
QQQ 1 0 27 2.01
QQQ 2 0 29 2.01
QQQ 3 0 30 2.01
QQQ 4 0 32 2.01
QQQ 5 0 30 2.01
QQQ 6 0 29 2.01
QQQ 7 0 31 2.01
QQQ 0 1 29 2.01
QQQ 1 1 27 2.01
QQQ 2 1 26 2.01
QQQ 3 1 23 2.01
QQQ 4 1 26 2.01
QQQ 5 1 27 2.01
QQQ 6 1 31 2.01
QQQ 7 1 34 2.01
QQQ 0 0 33 2.11
QQQ 1 0 26 2.12
QQQ 2 0 29 2.12
QQQ 3 0 30 2.12
QQQ 4 0 32 2.12
QQQ 5 0 30 2.12
QQQ 6 0 29 2.12
QQQ 7 0 32 2.12
QQQ 0 1 29 2.12
QQQ 1 1 27 2.12
QQQ 2 1 25 2.12
QQQ 3 1 24 2.12
QQQ 4 1 27 2.12
QQQ 5 1 27 2.12
QQQ 6 1 32 2.12
QQQ 7 1 34 2.12
QQQ 0 0 33 2.22
QQQ 1 0 27 2.22
QQQ 2 0 29 2.22
QQQ 3 0 30 2.22
QQQ 4 0 31 2.22
QQQ 5 0 30 2.22
QQQ 6 0 29 2.22
QQQ 7 0 31 2.22
QQQ 0 1 28 2.22
QQQ 1 1 27 2.22
QQQ 2 1 25 2.22
QQQ 3 1 23 2.22
QQQ 4 1 26 2.22
QQQ 5 1 28 2.22
QQQ 6 1 31 2.22
QQQ 7 1 35 2.22
QQQ 0 0 32 2.32
QQQ 1 0 26 2.32
QQQ 2 0 29 2.32
QQQ 3 0 30 2.32
QQQ 4 0 32 2.32
QQQ 5 0 30 2.32
QQQ 6 0 30 2.32
QQQ 7 0 31 2.32
QQQ 0 1 28 2.32
QQQ 1 1 27 2.32
QQQ 2 1 26 2.32
QQQ 3 1 24 2.32
QQQ 4 1 27 2.32
QQQ 5 1 27 2.32
QQQ 6 1 32 2.32
QQQ 7 1 35 2.32
QQQ 0 0 33 2.42
QQQ 1 0 26 2.42
QQQ 2 0 29 2.42
QQQ 3 0 30 2.42
QQQ 4 0 31 2.42
QQQ 5 0 30 2.42
QQQ 6 0 29 2.42
QQQ 7 0 31 2.42
QQQ 0 1 29 2.42
QQQ 1 1 27 2.42
QQQ 2 1 26 2.42
QQQ 3 1 23 2.42
QQQ 4 1 27 2.42
QQQ 5 1 27 2.42
QQQ 6 1 33 2.42
QQQ 7 1 35 2.42
QQQ 0 0 33 2.52
QQQ 1 0 27 2.52
QQQ 2 0 28 2.52
QQQ 3 0 30 2.52
QQQ 4 0 31 2.52
QQQ 5 0 30 2.52
QQQ 6 0 30 2.52
QQQ 7 0 31 2.52
QQQ 0 1 29 2.52
QQQ 1 1 26 2.52
QQQ 2 1 25 2.52
QQQ 3 1 23 2.52
QQQ 4 1 27 2.52
QQQ 5 1 29 2.52
QQQ 6 1 32 2.52
QQQ 7 1 34 2.52
QQQ 0 0 32 2.62
QQQ 1 0 27 2.62
QQQ 2 0 28 2.62
QQQ 3 0 30 2.62
QQQ 4 0 31 2.62
QQQ 5 0 30 2.62
QQQ 6 0 30 2.62
QQQ 7 0 31 2.62
QQQ 0 1 29 2.62
QQQ 1 1 26 2.62
QQQ 2 1 26 2.62
QQQ 3 1 24 2.62
QQQ 4 1 27 2.62
QQQ 5 1 29 2.62
QQQ 6 1 32 2.62
QQQ 7 1 34 2.62
QQQ 0 0 33 2.72
QQQ 1 0 26 2.72
QQQ 2 0 29 2.72
QQQ 3 0 31 2.72
QQQ 4 0 32 2.72
QQQ 5 0 30 2.72
QQQ 6 0 29 2.72
QQQ 7 0 32 2.72
QQQ 0 1 29 2.72
QQQ 1 1 27 2.72
QQQ 2 1 25 2.72
QQQ 3 1 23 2.72
QQQ 4 1 27 2.72
QQQ 5 1 28 2.72
QQQ 6 1 33 2.72
QQQ 7 1 35 2.72
QQQ 0 0 32 2.82
QQQ 1 0 27 2.82
QQQ 2 0 28 2.82
QQQ 3 0 29 2.82
QQQ 4 0 31 2.82
QQQ 5 0 30 2.82
QQQ 6 0 29 2.82
QQQ 7 0 31 2.82
QQQ 0 1 29 2.82
QQQ 1 1 27 2.82
QQQ 2 1 25 2.82
QQQ 3 1 24 2.82
QQQ 4 1 27 2.82
QQQ 5 1 28 2.82
QQQ 6 1 32 2.82
QQQ 7 1 34 2.82
QQQ 0 0 33 2.92
QQQ 1 0 27 2.92
QQQ 2 0 28 2.92
QQQ 3 0 30 2.92
QQQ 4 0 32 2.92
QQQ 5 0 30 2.92
QQQ 6 0 30 2.92
QQQ 7 0 31 2.92
QQQ 0 1 29 2.92
QQQ 1 1 27 2.92
QQQ 2 1 25 2.92
QQQ 3 1 24 2.92
QQQ 4 1 28 2.92
QQQ 5 1 29 2.92
QQQ 6 1 32 2.92
QQQ 7 1 35 2.92
QQQ 0 0 32 3.02
QQQ 1 0 27 3.02
QQQ 2 0 30 3.02
QQQ 3 0 30 3.02
QQQ 4 0 31 3.02
QQQ 5 0 30 3.02
QQQ 6 0 29 3.02
QQQ 7 0 32 3.02
QQQ 0 1 29 3.02
QQQ 1 1 27 3.02
QQQ 2 1 25 3.02
QQQ 3 1 23 3.02
QQQ 4 1 27 3.02
QQQ 5 1 28 3.02
QQQ 6 1 33 3.02
QQQ 7 1 35 3.02
QQQ 0 0 32 3.12
QQQ 1 0 27 3.12
QQQ 2 0 29 3.12
QQQ 3 0 30 3.12
QQQ 4 0 32 3.12
QQQ 5 0 30 3.12
QQQ 6 0 30 3.12
QQQ 7 0 31 3.12
QQQ 0 1 30 3.12
QQQ 1 1 27 3.12
QQQ 2 1 25 3.12
QQQ 3 1 23 3.12
QQQ 4 1 28 3.12
QQQ 5 1 28 3.12
QQQ 6 1 32 3.12
QQQ 7 1 35 3.12
QQQ 0 0 32 3.22
QQQ 1 0 27 3.22
QQQ 2 0 28 3.22
QQQ 3 0 29 3.22
QQQ 4 0 31 3.22
QQQ 5 0 30 3.22
QQQ 6 0 29 3.22
QQQ 7 0 32 3.22
QQQ 0 1 29 3.22
QQQ 1 1 27 3.22
QQQ 2 1 26 3.22
QQQ 3 1 23 3.22
QQQ 4 1 27 3.22
QQQ 5 1 29 3.22
QQQ 6 1 33 3.22
QQQ 7 1 34 3.22
QQQ 0 0 32 3.32
QQQ 1 0 27 3.32
QQQ 2 0 28 3.32
QQQ 3 0 30 3.32
QQQ 4 0 31 3.32
QQQ 5 0 30 3.32
QQQ 6 0 30 3.32
QQQ 7 0 32 3.32
QQQ 0 1 29 3.32
QQQ 1 1 27 3.32
QQQ 2 1 26 3.32
QQQ 3 1 24 3.32
QQQ 4 1 28 3.32
QQQ 5 1 28 3.32
QQQ 6 1 32 3.32
QQQ 7 1 35 3.32
QQQ 0 0 33 3.42
QQQ 1 0 26 3.42
QQQ 2 0 28 3.42
QQQ 3 0 30 3.42
QQQ 4 0 31 3.42
QQQ 5 0 30 3.42
QQQ 6 0 29 3.42
QQQ 7 0 32 3.42
QQQ 0 1 30 3.42
QQQ 1 1 27 3.42
QQQ 2 1 26 3.42
QQQ 3 1 23 3.42
QQQ 4 1 27 3.43
QQQ 5 1 28 3.43
QQQ 6 1 32 3.43
QQQ 7 1 35 3.43
